feature_index,track_id,segment_index,path,label,label_id,duration_seconds,processed_seconds,skipped_tail_seconds,source_sample_rate,target_sample_rate,num_chunks
0,0,0,datasets/audios/eastern_sliced/carnatic/carnatic_000_000.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
1,1,0,datasets/audios/eastern_sliced/carnatic/carnatic_000_001.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
2,2,0,datasets/audios/eastern_sliced/carnatic/carnatic_000_002.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
3,3,0,datasets/audios/eastern_sliced/carnatic/carnatic_000_003.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
4,4,0,datasets/audios/eastern_sliced/carnatic/carnatic_000_004.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
5,5,0,datasets/audios/eastern_sliced/carnatic/carnatic_001_000.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
6,6,0,datasets/audios/eastern_sliced/carnatic/carnatic_001_001.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
7,7,0,datasets/audios/eastern_sliced/carnatic/carnatic_001_002.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
8,8,0,datasets/audios/eastern_sliced/carnatic/carnatic_001_003.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
9,9,0,datasets/audios/eastern_sliced/carnatic/carnatic_001_004.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
10,10,0,datasets/audios/eastern_sliced/carnatic/carnatic_002_000.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
11,11,0,datasets/audios/eastern_sliced/carnatic/carnatic_002_001.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
12,12,0,datasets/audios/eastern_sliced/carnatic/carnatic_002_002.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
13,13,0,datasets/audios/eastern_sliced/carnatic/carnatic_002_003.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
14,14,0,datasets/audios/eastern_sliced/carnatic/carnatic_002_004.wav,carnatic,0,30.0,30.0,0.0,22050,24000,1
