feature_index,track_id,segment_index,path,label,label_id,duration_seconds,processed_seconds,skipped_tail_seconds,source_sample_rate,target_sample_rate,num_chunks
0,0,0,datasets/audios/eastern_data/cpop/cpop_000.wav,cpop,1,27.0,27.0,0.0,48000,24000,1
1,1,0,datasets/audios/eastern_data/cpop/cpop_001.wav,cpop,1,26.0,26.0,0.0,48000,24000,1
2,2,0,datasets/audios/eastern_data/cpop/cpop_002.wav,cpop,1,27.0,27.0,0.0,48000,24000,1
3,3,0,datasets/audios/eastern_data/cpop/cpop_003.wav,cpop,1,27.0,27.0,0.0,48000,24000,1
4,4,0,datasets/audios/eastern_data/cpop/cpop_004.wav,cpop,1,28.0,28.0,0.0,48000,24000,1
5,5,0,datasets/audios/eastern_data/cpop/cpop_005.wav,cpop,1,26.0,26.0,0.0,48000,24000,1
6,6,0,datasets/audios/eastern_data/cpop/cpop_006.wav,cpop,1,27.0,27.0,0.0,48000,24000,1
7,7,0,datasets/audios/eastern_data/cpop/cpop_007.wav,cpop,1,30.0,30.0,0.0,48000,24000,1
8,8,0,datasets/audios/eastern_data/cpop/cpop_008.wav,cpop,1,29.0,29.0,0.0,48000,24000,1
9,9,0,datasets/audios/eastern_data/cpop/cpop_009.wav,cpop,1,26.0,26.0,0.0,48000,24000,1
10,10,0,datasets/audios/eastern_data/cpop/cpop_010.wav,cpop,1,25.0,25.0,0.0,48000,24000,1
11,11,0,datasets/audios/eastern_data/cpop/cpop_011.wav,cpop,1,28.0,28.0,0.0,48000,24000,1
12,12,0,datasets/audios/eastern_data/cpop/cpop_012.wav,cpop,1,25.0,25.0,0.0,48000,24000,1
13,13,0,datasets/audios/eastern_data/cpop/cpop_013.wav,cpop,1,28.0,28.0,0.0,48000,24000,1
14,14,0,datasets/audios/eastern_data/cpop/cpop_014.wav,cpop,1,28.0,28.0,0.0,48000,24000,1
15,15,0,datasets/audios/eastern_data/cpop/cpop_015.wav,cpop,1,25.0,25.0,0.0,48000,24000,1
16,16,0,datasets/audios/eastern_data/cpop/cpop_016.wav,cpop,1,27.0,27.0,0.0,48000,24000,1
17,17,0,datasets/audios/eastern_data/cpop/cpop_017.wav,cpop,1,30.0,30.0,0.0,48000,24000,1
18,18,0,datasets/audios/eastern_data/cpop/cpop_018.wav,cpop,1,27.0,27.0,0.0,48000,24000,1
19,19,0,datasets/audios/eastern_data/cpop/cpop_019.wav,cpop,1,28.0,28.0,0.0,48000,24000,1
20,20,0,datasets/audios/eastern_data/cpop/cpop_020.wav,cpop,1,27.0,27.0,0.0,48000,24000,1
21,21,0,datasets/audios/eastern_data/cpop/cpop_021.wav,cpop,1,29.0,29.0,0.0,48000,24000,1
22,22,0,datasets/audios/eastern_data/cpop/cpop_022.wav,cpop,1,25.0,25.0,0.0,48000,24000,1
23,23,0,datasets/audios/eastern_data/cpop/cpop_023.wav,cpop,1,28.0,28.0,0.0,48000,24000,1
24,24,0,datasets/audios/eastern_data/cpop/cpop_024.wav,cpop,1,27.0,27.0,0.0,48000,24000,1
25,25,0,datasets/audios/eastern_data/cpop/cpop_025.wav,cpop,1,27.0,27.0,0.0,48000,24000,1
26,26,0,datasets/audios/eastern_data/cpop/cpop_026.wav,cpop,1,30.0,30.0,0.0,48000,24000,1
27,27,0,datasets/audios/eastern_data/cpop/cpop_027.wav,cpop,1,37.0,37.0,0.0,48000,24000,2
28,28,0,datasets/audios/eastern_data/cpop/cpop_028.wav,cpop,1,25.0,25.0,0.0,48000,24000,1
29,29,0,datasets/audios/eastern_data/cpop/cpop_029.wav,cpop,1,29.0,29.0,0.0,48000,24000,1
30,30,0,datasets/audios/eastern_data/cpop/cpop_030.wav,cpop,1,27.0,27.0,0.0,48000,24000,1
31,31,0,datasets/audios/eastern_data/cpop/cpop_031.wav,cpop,1,28.0,28.0,0.0,48000,24000,1
32,32,0,datasets/audios/eastern_data/cpop/cpop_032.wav,cpop,1,28.0,28.0,0.0,48000,24000,1
33,33,0,datasets/audios/eastern_data/cpop/cpop_033.wav,cpop,1,24.0,24.0,0.0,48000,24000,1
34,34,0,datasets/audios/eastern_data/cpop/cpop_034.wav,cpop,1,31.0,31.0,0.0,48000,24000,2
