track_index,track_id,path,eastern_label,eastern_genre,predicted_western_label,predicted_western_genre,cluster_raw_mert,cluster_mlp_pooled,cluster_mlp_penultimate
0,0,datasets/audios/eastern_sliced/carnatic/carnatic_000_000.wav,0,carnatic,0,blues,3,3,3
1,1,datasets/audios/eastern_sliced/carnatic/carnatic_000_001.wav,0,carnatic,4,hiphop,3,3,6
2,2,datasets/audios/eastern_sliced/carnatic/carnatic_000_002.wav,0,carnatic,4,hiphop,3,3,6
3,3,datasets/audios/eastern_sliced/carnatic/carnatic_000_003.wav,0,carnatic,4,hiphop,3,3,6
4,4,datasets/audios/eastern_sliced/carnatic/carnatic_000_004.wav,0,carnatic,4,hiphop,3,3,6
5,5,datasets/audios/eastern_sliced/carnatic/carnatic_001_000.wav,0,carnatic,4,hiphop,3,3,6
6,6,datasets/audios/eastern_sliced/carnatic/carnatic_001_001.wav,0,carnatic,4,hiphop,3,3,6
7,7,datasets/audios/eastern_sliced/carnatic/carnatic_001_002.wav,0,carnatic,0,blues,3,3,6
8,8,datasets/audios/eastern_sliced/carnatic/carnatic_001_003.wav,0,carnatic,4,hiphop,3,3,6
9,9,datasets/audios/eastern_sliced/carnatic/carnatic_001_004.wav,0,carnatic,0,blues,3,3,6
10,10,datasets/audios/eastern_sliced/carnatic/carnatic_002_000.wav,0,carnatic,2,country,7,7,6
11,11,datasets/audios/eastern_sliced/carnatic/carnatic_002_001.wav,0,carnatic,2,country,3,3,6
12,12,datasets/audios/eastern_sliced/carnatic/carnatic_002_002.wav,0,carnatic,2,country,3,3,6
13,13,datasets/audios/eastern_sliced/carnatic/carnatic_002_003.wav,0,carnatic,5,jazz,7,7,3
14,14,datasets/audios/eastern_sliced/carnatic/carnatic_002_004.wav,0,carnatic,1,classical,7,7,3
15,15,datasets/audios/eastern_sliced/carnatic/carnatic_003_000.wav,0,carnatic,4,hiphop,3,3,6
16,16,datasets/audios/eastern_sliced/carnatic/carnatic_003_001.wav,0,carnatic,4,hiphop,3,3,6
17,17,datasets/audios/eastern_sliced/carnatic/carnatic_003_002.wav,0,carnatic,4,hiphop,3,3,6
18,18,datasets/audios/eastern_sliced/carnatic/carnatic_003_003.wav,0,carnatic,5,jazz,3,3,3
19,19,datasets/audios/eastern_sliced/carnatic/carnatic_003_004.wav,0,carnatic,5,jazz,3,3,6
20,20,datasets/audios/eastern_sliced/carnatic/carnatic_004_000.wav,0,carnatic,0,blues,3,3,6
21,21,datasets/audios/eastern_sliced/carnatic/carnatic_004_001.wav,0,carnatic,0,blues,3,3,6
22,22,datasets/audios/eastern_sliced/carnatic/carnatic_004_002.wav,0,carnatic,4,hiphop,3,3,6
23,23,datasets/audios/eastern_sliced/carnatic/carnatic_004_003.wav,0,carnatic,0,blues,3,3,6
24,24,datasets/audios/eastern_sliced/carnatic/carnatic_004_004.wav,0,carnatic,0,blues,3,3,6
25,25,datasets/audios/eastern_sliced/carnatic/carnatic_005_000.wav,0,carnatic,4,hiphop,3,3,6
26,26,datasets/audios/eastern_sliced/carnatic/carnatic_005_001.wav,0,carnatic,4,hiphop,3,3,6
27,27,datasets/audios/eastern_sliced/carnatic/carnatic_005_002.wav,0,carnatic,4,hiphop,0,0,6
28,28,datasets/audios/eastern_sliced/carnatic/carnatic_005_003.wav,0,carnatic,8,reggae,5,5,3
29,29,datasets/audios/eastern_sliced/carnatic/carnatic_005_004.wav,0,carnatic,0,blues,0,0,6
30,30,datasets/audios/eastern_sliced/carnatic/carnatic_006_000.wav,0,carnatic,5,jazz,7,7,3
31,31,datasets/audios/eastern_sliced/carnatic/carnatic_006_001.wav,0,carnatic,0,blues,3,3,6
32,32,datasets/audios/eastern_sliced/carnatic/carnatic_006_002.wav,0,carnatic,4,hiphop,3,3,6
33,33,datasets/audios/eastern_sliced/carnatic/carnatic_006_003.wav,0,carnatic,5,jazz,0,0,3
34,34,datasets/audios/eastern_sliced/carnatic/carnatic_006_004.wav,0,carnatic,4,hiphop,3,3,6
35,35,datasets/audios/eastern_sliced/carnatic/carnatic_007_000.wav,0,carnatic,0,blues,3,3,6
36,36,datasets/audios/eastern_sliced/carnatic/carnatic_007_001.wav,0,carnatic,4,hiphop,3,3,6
37,37,datasets/audios/eastern_sliced/carnatic/carnatic_007_002.wav,0,carnatic,4,hiphop,0,0,6
38,38,datasets/audios/eastern_sliced/carnatic/carnatic_007_003.wav,0,carnatic,0,blues,3,3,6
39,39,datasets/audios/eastern_sliced/carnatic/carnatic_007_004.wav,0,carnatic,0,blues,0,0,6
40,40,datasets/audios/eastern_sliced/carnatic/carnatic_008_000.wav,0,carnatic,0,blues,3,3,6
41,41,datasets/audios/eastern_sliced/carnatic/carnatic_008_001.wav,0,carnatic,0,blues,3,3,6
42,42,datasets/audios/eastern_sliced/carnatic/carnatic_009_000.wav,0,carnatic,4,hiphop,0,0,6
