dataset,mert_layer,saved_layer_index,fold,num_train,num_validation,num_test,train_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_macro_f1,validation_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1
western,1,1,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.5842105263157895,0.5627448493196063,0.5684065431968601,0.5821596244131455,0.5721050600665205,0.5771225493482633
western,1,1,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.7318435754189944,0.6580658262686946,0.7426543292174442,0.6894736842105263,0.6261548688238332,0.6886973583700982
western,1,1,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.48847926267281105,0.5026810611302408,0.4831881016270241,0.6871508379888268,0.6124469748587396,0.7135661935563349
western,1,1,4,582,200,217,1.0,1.0,1.0,0.775,0.6396197031354453,0.7761730368581943,0.5944700460829493,0.6135181121357819,0.5861121977167332
western,1,1,5,586,213,200,1.0,1.0,1.0,0.5633802816901409,0.5818962742213112,0.57929939458566,0.74,0.6473060427350723,0.7455939537607541
western,2,2,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.6421052631578947,0.6140731763782419,0.6161228968558491,0.6244131455399061,0.6217899588808253,0.61901515345722
western,2,2,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.7821229050279329,0.7662597911739789,0.7894716253260096,0.6578947368421053,0.6317450726237912,0.6621675961132004
western,2,2,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.5529953917050692,0.6030598578402178,0.5518657941672714,0.7094972067039106,0.6374605179522046,0.7313844182243505
western,2,2,4,582,200,217,1.0,1.0,1.0,0.78,0.6576456323925133,0.7858429291049082,0.6082949308755761,0.632194249912658,0.6047177780614187
western,2,2,5,586,213,200,1.0,1.0,1.0,0.5868544600938967,0.6220520145280768,0.6028165701856719,0.765,0.6278549282558469,0.7700122053981836
western,3,3,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.6578947368421053,0.6329805469696612,0.6378040139616221,0.7136150234741784,0.6923727975221091,0.7069442988734749
western,3,3,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.8100558659217877,0.7991846858513524,0.8159744270358796,0.6631578947368421,0.6573252402199771,0.6778308790358653
western,3,3,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.6221198156682027,0.6589507374257578,0.625757556132478,0.7932960893854749,0.693001690805116,0.8118591777555908
western,3,3,4,582,200,217,1.0,1.0,1.0,0.81,0.7552750856999364,0.8107285324219374,0.6497695852534562,0.6823752206757916,0.6516966295064287
western,3,3,5,586,213,200,1.0,1.0,1.0,0.6103286384976526,0.6308094084689829,0.6253796836505857,0.785,0.6597653192324244,0.7912750874977847
western,4,4,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.6473684210526316,0.6332809801540058,0.6316179579354982,0.704225352112676,0.6540634672670628,0.684037370530251
western,4,4,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.7988826815642458,0.6992602679403171,0.8091464109057356,0.6526315789473685,0.6239799481379009,0.6675568225430075
western,4,4,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.631336405529954,0.6390806905512788,0.6417427336375561,0.776536312849162,0.6804184414829576,0.7906717911691782
western,4,4,4,582,200,217,1.0,1.0,1.0,0.805,0.7471287837702045,0.8022632995477302,0.6589861751152074,0.6738168940663697,0.6640101155217247
western,4,4,5,586,213,200,1.0,1.0,1.0,0.6384976525821596,0.6414861799327298,0.6478244441646849,0.785,0.6611603595491065,0.7924222343710835
western,5,5,1,596,190,213,0.9983221476510067,0.9981308411214954,0.9983221476510067,0.6631578947368421,0.6656754942878902,0.656480589350252,0.7230046948356808,0.685543407305334,0.7004876983706914
western,5,5,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.8324022346368715,0.7175615892501139,0.840014972697445,0.7263157894736842,0.6848027550738548,0.7264033632869278
western,5,5,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.7050691244239631,0.7265073709947591,0.7171936525056096,0.8156424581005587,0.7116366286351938,0.8279265003907725
western,5,5,4,582,200,217,1.0,1.0,1.0,0.825,0.7811549360843573,0.8232638771257647,0.6820276497695853,0.691038251672424,0.6925267644389173
western,5,5,5,586,213,200,1.0,1.0,1.0,0.6901408450704225,0.6888646155414755,0.6860889670682206,0.81,0.6752139092456344,0.8110608232921518
western,6,6,1,596,190,213,0.9983221476510067,0.9981301878549586,0.9983218544483243,0.6421052631578947,0.6480130781409554,0.6022847991511339,0.7417840375586855,0.7060241231512128,0.7089451082738367
western,6,6,2,630,179,190,0.9984126984126984,0.9983596638655463,0.9984130185407496,0.8491620111731844,0.735950947567934,0.8542949434910594,0.7368421052631579,0.7214111316301552,0.7338445376506111
western,6,6,3,603,217,179,0.9983416252072969,0.9984402394051145,0.9983426277916586,0.7235023041474654,0.7227150910764741,0.7289201077741962,0.8268156424581006,0.7270851243439025,0.8410101176481982
western,6,6,4,582,200,217,1.0,1.0,1.0,0.82,0.6950204922253115,0.8178661105962309,0.7188940092165899,0.729178017096219,0.7260763966739808
western,6,6,5,586,213,200,1.0,1.0,1.0,0.704225352112676,0.7006606705002283,0.6902098883818287,0.82,0.6829466657042584,0.8203124915349929
