dataset,mert_layer,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,validation_macro_f1_mean,validation_macro_f1_std
eastern,1,0.8987199747155499,0.02172939316575126,0.8651991504843675,0.024354711931636536,0.8507078568456921,0.03831235897067424
eastern,2,0.8845132743362832,0.020504107200709266,0.8463911226618717,0.023937003751839474,0.8585790031980014,0.02838964879497797
eastern,3,0.9129898862199747,0.025989565627085657,0.8718559120071376,0.03291900589788693,0.8719825078739168,0.031024047851876964
eastern,4,0.9183154235145385,0.02204725302036256,0.877298393230531,0.02899819076030124,0.863388431742411,0.028956765221530165
eastern,5,0.927212389380531,0.01709050157011864,0.8939907943290137,0.030850542058425745,0.8836859221253844,0.046301993353166294
eastern,6,0.9218868520859672,0.010063729268340926,0.8847577982769586,0.020632993595834294,0.8888471143954211,0.04888540936916555
eastern,7,0.9183154235145385,0.016161108152856766,0.8825833897455105,0.027289586654296094,0.8836775510957805,0.03481457753739327
eastern,8,0.909418457648546,0.019005339599278265,0.8720976997673195,0.0305053361091547,0.8808353357341729,0.041680609178250484
eastern,9,0.914775600505689,0.014244048857884401,0.8792807749848596,0.019472499757359343,0.8761182668346409,0.036899776773647114
eastern,10,0.9059102402022756,0.030468049201035213,0.8703388615656623,0.03855239050549756,0.8655387796423257,0.0534970520052218
eastern,11,0.8951959544879898,0.03258664550454182,0.8523318107966199,0.042528112895447744,0.8600507028415587,0.03884023940690398
eastern,12,0.8863147914032868,0.020652633041535234,0.8437439720873423,0.028903819394686423,0.8464361191717206,0.026017988709532203
western,1,0.6586508385390897,0.060580630259304304,0.6143062117239895,0.024553592754334077,0.5890015428150596,0.05571929245169383
western,2,0.6730200039922997,0.057570203175221664,0.6302089455250652,0.0052020602853206435,0.6526180944626058,0.05969208681038268
western,3,0.7209677185699903,0.05966026874646944,0.6769680536910837,0.015526720840669063,0.695440092883138,0.06892453879538354
western,4,0.7154758838048828,0.05626552591420356,0.6586878221006796,0.01966338348991681,0.6720473804697071,0.044500296138197504
western,5,0.7513981184359018,0.0525529967836189,0.6896469903864884,0.01211692732800895,0.7159528012317192,0.03905606976802896
western,6,0.7688671588993068,0.04523054144480872,0.7133290123851495,0.01721737851475467,0.7004720559021806,0.030117117515915753
western,7,0.7845922173402358,0.04725562870230998,0.7250568948240504,0.04553279618505242,0.7176768761507833,0.04515600537101403
western,8,0.7648799213061881,0.04317024606431122,0.6970197569209904,0.03624071910043083,0.6895351583007413,0.0340602953302288
western,9,0.7663312132503582,0.03886921398691754,0.7014049298519396,0.027853784800075457,0.6934036806129542,0.05847566674597356
western,10,0.7329888663963942,0.046237216331891394,0.6666718549725894,0.01295450146015846,0.6857188213547245,0.04395174858857552
western,11,0.691575823338955,0.06720762265835777,0.6320110658257156,0.03299251960450325,0.6392281411737294,0.051801585242079354
western,12,0.6746125068266778,0.0661810267413052,0.6270531114662307,0.025196859606933263,0.6037507368108186,0.01781322793648438
